1A	the	Please give me <b>[...]</b> blue book.	Please give me the blue book.	[Definite Article] specific item	Por favor, dame el libro azul.
93A	give	These boxes are very heavy, so can you <b>[...]</b> me a hand?	These boxes are very heavy, so can you give me a hand?	[Verb] freely transfer possession or provide help	Estas cajas son muy pesadas, así que ¿puedes darme una mano?
93B	give	This game is too hard, so I <b>[...]</b> up.	This game is too hard, so I give up.	[Phrasal Verb] quit or surrender	Este juego es demasiado difícil, así que me rindo.
93C	give	That is my pen, so please <b>[...]</b> it back.	That is my pen, so please give it back.	[Phrasal Verb] return something to its owner	Ese es mi bolígrafo, así que por favor devuélvemelo.
94A	many	How <b>[...]</b> brothers do you have?	How many brothers do you have?	[Determiner] a large number of things or people	¿Cuántos hermanos tienes?
95A	well	He practices every day, so he plays the guitar very <b>[...]</b>.	He practices every day, so he plays the guitar very well.	[Adverb] in a good, satisfactory or effective way	Él practica todos los días, así que toca la guitarra muy bien.
95B	well	The town has no river, so the farm has a deep <b>[...]</b> for water.	The town has no river, so the farm has a deep well for water.	[Noun] a deep hole made to extract water	El pueblo no tiene río, así que la granja tiene un pozo profundo para agua.
95C	well	<b>[...]</b>, I don't know.	Well, I don't know.	[Interjection] discourse marker or hesitation	Bueno, no sé.
95D	well	I have a fever, so I don't feel <b>[...]</b> today.	I have a fever, so I don't feel well today.	[Adjective] healthy or in good condition	Tengo fiebre, así que no me siento bien hoy.
96A	only	I have <b>[...]</b> five dollars.	I have only five dollars.	[Adjective] single, solitary or exclusive	Tengo solo cinco dólares.
97A	those	Look at <b>[...]</b> birds.	Look at those birds.	[Demonstrative Pronoun] referring to plural items far away	Mira esos pájaros.
98A	tell	The children are bored, so please <b>[...]</b> them a story.	The children are bored, so please tell them a story.	[Verb] communicate information to someone in spoken or written words	Los niños están aburridos, así que por favor cuéntales una historia.
98B	tell	The twins look exactly the same, so I cannot <b>[...]</b> the difference.	The twins look exactly the same, so I cannot tell the difference.	[Verb] distinguish or recognize difference	Los gemelos se ven exactamente iguales, así que no puedo notar la diferencia.
99A	very	The soup is <b>[...]</b> hot.	The soup is very hot.	[Adverb] to a high degree or emphasizing an adjective	La sopa está muy caliente.
100A	even	Everyone likes pizza, <b>[...]</b> my dog.	Everyone likes pizza, even my dog.	[Adverb] used to emphasize something surprising or extreme	A todos les gusta la pizza, incluso a mi perro.
100B	even	The table is shaking, so make sure the floor is <b>[...]</b>.	The table is shaking, so make sure the floor is even.	[Adjective] flat, smooth or equal in level	La mesa se está moviendo, así que asegúrate de que el piso esté nivelado.
100C	even	You can divide them by two, because two and four are <b>[...]</b> numbers.	You can divide them by two, because two and four are even numbers.	[Adjective] divisible by two	Puedes dividirlos por dos, porque dos y cuatro son números pares.
